ds,yhat,yhat_lower,yhat_upper
2009-12-01,686356.3077467958,672730.4997386351,701030.3086060901
2010-01-01,529446.2513238383,515983.3178697363,542716.5618779843
2010-02-01,491592.3409922244,478368.43041605444,505016.8766947516
2010-03-01,659332.2113417751,646191.4714993127,672270.9180033432
2010-04-01,581245.5034288024,567101.9850499704,594809.7981699957
2010-05-01,591674.1695146837,578652.5029471028,605128.845024462
2010-06-01,630898.8293910555,617826.9837361668,643660.0129604652
2010-07-01,585640.8802743101,572946.0060787455,599310.344758599
2010-08-01,599524.0135375942,586732.4706968358,612516.5169357874
2010-09-01,810224.2839490143,796884.9306297625,823023.581185692
2010-10-01,1014167.4788858005,1001223.3219267656,1027635.3996195582
2010-11-01,1155792.59558102,1141670.1705355698,1169107.6857889898
2010-12-01,542047.022062262,528990.5742841074,555699.5372091929
2011-01-01,567532.2770603293,554768.460458824,580518.5132610693
2011-02-01,449308.14387234027,435744.9820896407,462767.8747764128
2011-03-01,590320.0053304344,577460.6453148769,603604.8063848893
2011-04-01,458469.90895764495,445135.0445761512,471220.6299973182
2011-05-01,660277.6149870843,647381.4999105887,673683.9921294939
2011-06-01,651177.4241278234,638522.8192941959,664303.1063554154
2011-07-01,587627.0827319382,573469.2300974139,600260.177894354
2011-08-01,630732.7653646963,617310.0659465615,643735.2625908342
2011-09-01,934201.8013759796,920073.2448446235,947719.5621830947
2011-10-01,999723.4660363772,986321.5230772396,1012951.3199644806
2011-11-01,1136619.3825625132,1123218.9086120317,1149628.7781871546
2011-12-01,524898.7226600805,512186.5700718093,538139.8881107495
2012-01-01,690209.8271552919,677008.1425848792,703706.5231558613
2012-02-01,462802.6865381056,449447.44732330024,476714.1743510114
2012-03-01,638703.8145580195,621526.3986488488,656027.9414237891
