Customer ID,Recency,Frequency,Monetary,Churned,Churn_Predicted,Churn_Probability
12346,179,2,169.36,0,0,0.381
12347,17,2,1323.32,0,0,0.071
12348,7,2,873.9599999999999,0,0,0.1088
12349,57,2,2221.14,0,0,0.1185
12351,25,1,300.93,1,0,0.428
12352,25,2,343.8,0,0,0.4831
12353,58,1,317.76,0,0,0.4798
12355,217,1,488.21000000000004,0,0,0.2103
12356,30,3,3124.3,0,0,0.0792
12357,38,1,11229.99,0,0,0.2987
12358,25,2,1089.18,0,0,0.2866
12359,75,4,1724.47,0,0,0.1885
12360,42,3,1310.83,0,0,0.182
12361,112,3,276.35,0,0,0.3424
12366,283,1,500.24,1,1,0.6886
12368,278,1,917.7,1,1,0.8317
12369,63,3,1511.15,1,0,0.3902
12370,7,5,2278.89,0,0,0.0206
12371,59,3,1819.42,0,0,0.1874
12373,274,2,603.0500000000001,0,0,0.2336
12374,71,2,2046.29,0,0,0.1477
12376,39,2,383.15,1,1,0.5599
12377,4,3,2719.7200000000003,0,0,0.1596
12378,212,1,1407.7,0,0,0.3413
12379,72,2,692.98,0,0,0.2889
12380,115,4,4782.84,0,0,0.1193
12383,2,1,555.72,0,1,0.611
12385,29,1,1668.4,1,1,0.6308
12386,16,1,258.90000000000003,0,0,0.2685
12387,64,1,143.94,1,1,0.6321
12388,95,2,1120.45,0,0,0.2204
12389,52,3,1433.33,1,0,0.268
12391,114,5,2285.18,0,0,0.2218
12392,241,1,234.75000000000003,1,1,0.89
12393,31,2,816.85,0,0,0.323
12395,7,5,2148.46,0,0,0.0503
12396,324,1,931.4300000000001,1,1,0.7604
12399,35,3,808.65,0,0,0.2153
12400,64,1,205.25,1,1,0.5443
12402,42,5,941.3000000000001,0,0,0.179
12403,171,1,555.6600000000001,0,0,0.2983
12406,49,3,2975.06,0,0,0.1487
12408,35,3,1287.22,0,0,0.1641
12409,70,4,12346.62,0,0,0.1338
12410,152,1,240.38,0,1,0.6528
12411,59,1,346.9,1,1,0.5191
12412,51,3,1262.05,0,0,0.2114
12413,52,1,185.35,0,0,0.4886
12414,113,1,90.0,0,0,0.449
12415,25,4,19468.84,0,0,0.0339
12416,306,1,202.56,1,1,0.7944
12417,7,10,2746.05,0,0,0.0088
12418,63,3,1352.62,0,0,0.2247
12419,35,2,391.01,1,0,0.4635
12421,65,2,235.56,0,0,0.3563
12422,44,8,2880.79,0,0,0.0281
12423,3,3,860.01,0,0,0.1914
12424,72,2,1579.07,0,0,0.112
12425,98,1,964.21,0,0,0.3101
12426,312,1,690.48,0,0,0.3877
12427,21,1,249.5,0,0,0.4386
12429,15,5,3591.51,0,0,0.023
12431,7,12,4493.72,0,0,0.0087
12433,15,5,7205.39,0,0,0.015
12434,31,1,297.29,0,0,0.4405
12435,46,3,5088.04,0,0,0.0949
12437,45,19,6310.71,0,0,0.0313
